"ID";"Codigo";"Descripcion";"Unidad de medida";"Catalogo";"Stock Total";"Stock Reservado";"Almacen";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"200,000";"0,000";"ELDO_ALM_PRINCIPAL";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"27,000";"0,000";"3RO_MOV_KEO663_TAVARES_CLAUDIO";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"20,000";"0,000";"SPD_PEUGEOT206_FHB226";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"18,000";"0,000";"ELDO_MOVIL_AH646PT_FIORINO";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"35,000";"0,000";"WND-PRINCIPAL";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2289,000";"0,000";"OBE_ALM_PRINCIPAL";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"34,000";"0,000";"OBE_MOV_AC325KI_PARTNER_OB04";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"23,000";"0,000";"OBE_MOV_AF626DO_FIORINO_OB07";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"18,000";"0,000";"OBE_MOV_AA701EZ_CLIO_OB09";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"27,000";"0,000";"OBE_MOV_AF645TX_BERLINGO_OB10";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"34,000";"0,000";"OBE_MOV_AG619SX_YARIS_OB11";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"19,000";"0,000";"OBE_MOV_AG660RM_FIORINO_OB13";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"37,000";"0,000";"OBE_MOV_AG619SY_YARIS_OB14";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"10,000";"0,000";"OBE_MOV_AC301UR_PARTNER_OB05";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"62,000";"0,000";"OBE_MOV_AF288VL_TOYOTA_OB06";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"240,000";"0,000";"SPD_PRINCIPAL";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"8,000";"0,000";"SPD_FIORINO_AE226IV";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"5,000";"1,000";"SPD_GOL_IZF196";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"18,000";"0,000";"SPD_KANGOO_LDM961";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"36,000";"0,000";"SPD_CORSA_GWT145";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"25,000";"0,000";"WND_ECOSPORT_EWD102";
"45";"ER-1288";"FICHA RJ45";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"9,000";"0,000";"SPD_RANGER_KNV423";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"39,000";"0,000";"ITU_MOV_AH864NB_FIORINO_OB-23";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"7,000";"0,000";"SPD_FIORINO_AH646PV";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"14,000";"0,000";"3RO_MOV_AC343ZR_TAVARES_DANIEL";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"10,000";"0,000";"SPD_FIATUNO_JQL437";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"100,000";"0,000";"WND-PRINCIPAL";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"SPD_KANGOO_LDM961";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"80,000";"0,000";"SPD_PRINCIPAL";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"6,000";"0,000";"OBE_MOV_AG619SX_YARIS_OB11";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"50,000";"0,000";"OBE_ALM_REDES";
"561";"ER-2777";"FICHA RJ45 CAT 6";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"282,000";"0,000";"OBE_ALM_PRINCIPAL";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"DOSK_FIAT-PALIO_OUE911";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_MOV_AF626DQ_FIORINO_OB08";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_RANGER_KNV423";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"51,000";"0,000";"OBE_ALM_PRINCIPAL";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_MOV_AG619SX_YARIS_OB11";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_MOV_AF626DO_FIORINO_OB07";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"3,000";"0,000";"SPD_PRINCIPAL";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_KANGOO_LDM961";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"ELDO_MOVIL_AH646PT_FIORINO";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_FIORINO_AH646PV";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"ELDO_ALM_PRINCIPAL";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_MOV_AH259TD_FIORINO_OB17";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_FIATUNO_JQL437";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_FIORINO_AH259TN_OB16";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"DOSK_FIAT-PALIO_NUU379";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"3RO_MOV_LUZ110_ZONAX_PETRY_02";
"515";"ER-3353";"FO LAPIZ LIMPIADOR FTTH E2000 (SC/ST/FC/APC/UPC)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"WND-PRINCIPAL";
"905";"ER-5322";"FO QSFP 100GB 100KM LC SMF";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"4,000";"0,000";"OBE_ALM_PRINCIPAL";
"752";"ER-5133";"FO QSFP 28 100G 80KM 1310NM";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"500";"ER-4081";"FO SFP 10GB DUPLEX 850NM 300M";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"8,000";"0,000";"OBE_ALM_REDES";
"753";"ER-5134";"FO SFP+ 10G 40KM LC DUPLEX 1550NM";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"4,000";"0,000";"SPD_PRINCIPAL";
"863";"ER-5300";"FO SFP+ 10G CABO-AOC 10m";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"8,000";"0,000";"OBE_ALM_PRINCIPAL";
"751";"ER-5132";"FO SFP+ 10G CABO-AOC 5m";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"WND-PRINCIPAL";
"751";"ER-5132";"FO SFP+ 10G CABO-AOC 5m";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"7,000";"0,000";"SPD_PRINCIPAL";
"751";"ER-5132";"FO SFP+ 10G CABO-AOC 5m";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"16,000";"0,000";"OBE_ALM_PRINCIPAL";
"39";"ER-3709-U";"FUENTE ALG 24V 10A(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"257";"ER-4232";"FUENTE OLT ''MODULO RETIFICADOR'' HUAWEI (R4850G2) 50A";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"5,000";"0,000";"OBE_ALM_PRINCIPAL";
"580";"ER-3503";"GABINETE RACK MURAL 6U";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"274";"ER-4498";"HUAWEI DEMO ''AP'' AIR-ERGINIE5761R-11E (EXTERIOR)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"284";"ER-4522";"HUAWEI FUENTE SWTICH S6730/1000W/ DC PDC1000S12-DB -48";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"4,000";"0,000";"OBE_ALM_PRINCIPAL";
"609";"ER-3433-U";"HUAWEI S5720-28X-PWR-LI-AC(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"267";"ER-4591";"IPTV EDFA 08 PORTAS CATV 77BEY8+22+WDM SC-APC SC-APC";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_MOV_AF288VL_TOYOTA_OB06";
"251";"ER-4160";"IPTV EDFA 32 PORTAS CATV SPA-32-22+WDM SC/APC";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"251";"ER-4160";"IPTV EDFA 32 PORTAS CATV SPA-32-22+WDM SC/APC";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_MOV_AF288VL_TOYOTA_OB06";
"685";"ER-5092-U";"IS-5AC(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"7,000";"0,000";"OBE_ALM_PRINCIPAL";
"543";"ER-4638";"KOZUMI KS-1024RM 24port";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"210";"ER-2544";"MIKROTIK DYNA6 RBDYNADISHG-6HND";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"210";"ER-2544";"MIKROTIK DYNA6 RBDYNADISHG-6HND";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_MOV_AF288VL_TOYOTA_OB06";
"613";"ER-4456";"MIKROTIK LHG 5 AP/CPE+ ANTENA 5GHZ/24.5DBI  LVL3 C/F";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_ALM_DEVOLUCIONES";
"613";"ER-4456";"MIKROTIK LHG 5 AP/CPE+ ANTENA 5GHZ/24.5DBI  LVL3 C/F";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"208";"ER-2537-U";"MIKROTIK MUPS INYECTOR(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"5,000";"0,000";"OBE_ALM_PRINCIPAL";
"241";"ER-3626";"MIKROTIK OMNITIK RBOMNITIK-UPA-5HACD 5.8";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_MOV_AF626DQ_FIORINO_OB08";
"598";"ER-2356";"MIKROTIK OMNITIK RBOMNITIKG-5.8 AC";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_REDES";
"598";"ER-2356";"MIKROTIK OMNITIK RBOMNITIKG-5.8 AC";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"249";"ER-4068";"MIKROTIK RB-WAP-AC- 2PG PARED C/F+POE";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"3,000";"0,000";"OBE_ALM_PRINCIPAL";
"238";"ER-3568";"MIKROTIK RB-WAPG-60GB-AP";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"738";"ER-5122-U";"MIKROTIK RB260GPS(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_ALM_DEVOLUCIONES";
"541";"ER-3400";"MIKROTIK ROUTER CCR1036-8G-2S+-8PGB";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"540";"ER-2999-U";"MIKROTIK ROUTER CCR2004-1G-12S+2XS(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_ALM_PRINCIPAL";
"642";"ER-4515-U";"MIKROTIK ROUTER CCR2116-12G-4S+4X10G SFP+ 16GB(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"487";"ER-2033";"MIKROTIK ROUTER RB 760 IGS HEX S";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"600";"ER-5053-U";"MIKROTIK ROUTER RB2011 LS-IN(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"199";"ER-1516-U";"MIKROTIK ROUTER RB2011IL-IN RM 5 ETH 10/100 + 5 GIGA(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_RANGER_KNV423";
"203";"ER-2326";"MIKROTIK ROUTER RB2011UIAS-RM-2HND WIFI 10 ETH 1 SFP";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"203";"ER-2326";"MIKROTIK ROUTER RB2011UIAS-RM-2HND WIFI 10 ETH 1 SFP";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"Lucas_ Ventas B2B";
"205";"ER-2389";"MIKROTIK ROUTER RB3011UIAS-RM 10ETH 1GB RAM +1 SFP RACK";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"SPD_PRINCIPAL";
"684";"ER-1010-U";"MIKROTIK ROUTER RB4011IGS+RM 10ETH-GB-1G RAM- 1SFP(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_ALM_PRINCIPAL";
"684";"ER-1010-U";"MIKROTIK ROUTER RB4011IGS+RM 10ETH-GB-1G RAM- 1SFP(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"34";"ER-2521";"MIKROTIK ROUTER RB750GR3 - 5 ETH - R L4 - GIGA 880MHZ";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_REDES";
"34";"ER-2521";"MIKROTIK ROUTER RB750GR3 - 5 ETH - R L4 - GIGA 880MHZ";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_JUAN_OSTRONIUK";
"34";"ER-2521";"MIKROTIK ROUTER RB750GR3 - 5 ETH - R L4 - GIGA 880MHZ";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_MOV_AF288VL_TOYOTA_OB06";
"34";"ER-2521";"MIKROTIK ROUTER RB750GR3 - 5 ETH - R L4 - GIGA 880MHZ";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"SPD_PRINCIPAL";
"33";"ER-1684-U";"MIKROTIK ROUTER RB750R2- 5 ETH - ROUTEROS L4(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_PRINCIPAL";
"33";"ER-1684-U";"MIKROTIK ROUTER RB750R2- 5 ETH - ROUTEROS L4(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"OBE_ALM_REDES";
"33";"ER-1684-U";"MIKROTIK ROUTER RB750R2- 5 ETH - ROUTEROS L4(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_ALM_PRINCIPAL";
"202";"ER-2303";"MIKROTIK ROUTER RB951UI-2HND 5 ETH WIFI 1 WATT L4";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"8,000";"0,000";"OBE_ALM_PRINCIPAL";
"606";"ER-2303-U";"MIKROTIK ROUTER RB951UI-2HND 5 ETH WIFI 1 WATT L4(USADO)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"5,000";"0,000";"OBE_ALM_PRINCIPAL";
"240";"ER-3572";"MIKROTIK ROUTER RB951UI-2ND 5ETH";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"2,000";"0,000";"OBE_ALM_PRINCIPAL";
